,region,#ID,lon,lat,rP_CONTROL,pV_CONTROL,rP_EXP_BT1,pV_EXP_BT1,rP_EXP_BT2,pV_EXP_BT2,rP_TESTRUN,pV_TESTRUN,tgOK,tgDist
0,Baltic,Assens,9.880,55.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,406.153
1,Baltic,Bagenkop,10.680,54.750,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,218.457
2,Baltic,Ballen,10.640,55.820,0.915,0.000,0.836,0.000,0.824,0.000,0.920,0.000,True,346.990
3,Baltic,Bandholm,11.480,54.830,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,167.731
4,Baltic,Barseback,12.900,55.760,0.856,0.000,0.839,0.000,0.762,0.000,0.778,0.000,True,182.665
5,Baltic,Bogense,10.080,55.570,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,360.195
6,Baltic,Dragor,12.680,55.600,0.872,0.000,0.884,0.000,0.847,0.000,0.819,0.000,True,131.148
7,Baltic,Drogden,12.710,55.540,0.799,0.000,0.799,0.000,0.843,0.000,0.835,0.000,True,125.807
8,Baltic,Fynshav,9.980,55.000,0.769,0.000,0.623,0.000,0.679,0.000,0.805,0.000,True,270.547
9,Baltic,Gedser,11.930,54.570,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,127.730
10,Baltic,Helsingborg,12.680,56.040,0.854,0.000,0.838,0.000,0.772,0.000,0.789,0.000,True,188.299
11,Baltic,Hesnaes,12.130,54.820,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,144.517
12,Baltic,Hornbaek,12.470,56.100,0.933,0.000,0.890,0.000,0.881,0.000,0.929,0.000,True,194.889
13,Baltic,Hov,10.270,55.920,0.924,0.000,0.852,0.000,0.844,0.000,0.918,0.000,True,353.847
14,Baltic,Juelsminde,10.020,55.720,0.905,0.000,0.850,0.000,0.837,0.000,0.896,0.000,True,360.486
15,Baltic,Karrebaeksminde,11.650,55.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,164.756
16,Baltic,Klagshamn,12.890,55.520,0.818,0.000,0.829,0.000,0.856,0.000,0.839,0.000,True,94.816
17,Baltic,Kobenhavn,12.600,55.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,141.798
18,Baltic,Koege,12.200,55.450,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,127.456
19,Baltic,Korsor,11.130,55.330,0.853,0.000,0.825,0.000,0.805,0.000,0.850,0.000,True,335.995
20,Baltic,MalmoHamn,12.980,55.630,0.884,0.000,0.868,0.000,0.823,0.000,0.835,0.000,True,102.698
21,Baltic,Rodby,11.350,54.650,0.756,0.000,0.644,0.000,0.708,0.000,0.794,0.000,True,202.870
22,Baltic,Rodvig,12.370,55.250,0.779,0.000,0.758,0.000,0.800,0.000,0.815,0.000,True,121.318
23,Baltic,SjaellandsOdde,11.370,55.980,0.917,0.000,0.862,0.000,0.850,0.000,0.911,0.000,True,276.415
24,Baltic,Skanor,12.830,55.420,0.773,0.000,0.769,0.000,0.826,0.000,0.825,0.000,True,94.220
25,Baltic,Slipshavn,10.830,55.280,0.876,0.000,0.846,0.000,0.827,0.000,0.870,0.000,True,338.510
26,Baltic,Sonderborg,9.780,54.920,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,276.482
27,Baltic,Vedbaek,12.570,55.850,0.854,0.000,0.819,0.000,0.741,0.000,0.784,0.000,True,177.025
28,Baltic,Viken,12.580,56.140,0.923,0.000,0.881,0.000,0.871,0.000,0.916,0.000,True,193.204
29,Baltic,AlthagenTG,12.420,54.380,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,128.156
30,Baltic,HeiligenhafenTG,11.010,54.370,0.832,0.000,0.773,0.000,0.758,0.000,0.822,0.000,True,195.262
31,Baltic,KalkgrundTG,9.890,54.820,0.770,0.000,0.632,0.000,0.669,0.000,0.789,0.000,True,265.251
32,Baltic,KielTG,10.280,54.500,0.796,0.000,0.678,0.000,0.697,0.000,0.802,0.000,True,232.627
33,Baltic,LangballigauTG,9.650,54.820,0.762,0.000,0.608,0.000,0.650,0.000,0.783,0.000,True,279.495
34,Baltic,MarienleuchteTG,11.240,54.500,0.800,0.000,0.734,0.000,0.748,0.000,0.813,0.000,True,188.719
35,Baltic,NeustadtTG,10.810,54.090,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,224.177
36,Baltic,SchleimuendeTG,10.030,54.670,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,251.170
37,Baltic,TimmendorfPoelTG,11.380,53.990,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,242.936
38,Baltic,TravemuendeTG,10.870,53.960,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,214.172
39,Baltic,WarnemuendeTG,12.090,54.180,0.846,0.000,0.816,0.000,0.788,0.000,0.838,0.000,True,144.941
40,Baltic,WismarTG,11.460,53.900,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,249.344
41,NWS,Aarhus,10.220,56.150,0.918,0.000,0.864,0.000,0.858,0.000,0.912,0.000,True,346.976
42,NWS,Falkenberg,12.490,56.890,0.928,0.000,0.895,0.000,0.889,0.000,0.929,0.000,True,294.035
43,NWS,Frederikshavn,10.570,57.430,0.932,0.000,0.886,0.000,0.886,0.000,0.932,0.000,True,395.419
44,NWS,GoteborgEriksberg,11.910,57.700,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,411.196
45,NWS,GoteborgKrossholmen,11.770,57.690,0.912,0.000,0.877,0.000,0.876,0.000,0.914,0.000,True,402.909
46,NWS,GoteborgTorshamnen,11.790,57.680,0.915,0.000,0.879,0.000,0.877,0.000,0.917,0.000,True,404.179
47,NWS,Grena,10.930,56.410,0.929,0.000,0.877,0.000,0.875,0.000,0.927,0.000,True,298.450
48,NWS,Halmstad,12.840,56.650,0.924,0.000,0.887,0.000,0.880,0.000,0.922,0.000,True,261.213
49,NWS,Marstrand,11.570,57.890,0.907,0.000,0.867,0.000,0.866,0.000,0.909,0.000,True,405.112
50,NWS,Onsala,11.920,57.390,0.919,0.000,0.883,0.000,0.880,0.000,0.921,0.000,True,347.644
51,NWS,Ringhals,12.110,57.250,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,False,328.860
52,NWS,Smogen,11.220,58.350,0.901,0.000,0.858,0.000,0.857,0.000,0.900,0.000,True,462.647
53,NWS,TanguddenGBGHamn,11.870,57.680,0.910,0.000,0.875,0.000,0.873,0.000,0.913,0.000,True,408.915
54,NWS,Varberg2,12.240,57.110,0.923,0.000,0.889,0.000,0.886,0.000,0.924,0.000,True,313.104
55,NWS,Vinga2,11.610,57.630,0.912,0.000,0.877,0.000,0.876,0.000,0.913,0.000,True,395.610
56,NWS,HelgeroaTG,9.860,59.000,0.898,0.000,0.864,0.000,0.863,0.000,0.899,0.000,True,558.258
57,NWS,HirtshalsTG,9.970,57.600,0.931,0.000,0.905,0.000,0.904,0.000,0.932,0.000,True,474.458
58,NWS,VikerTG,10.950,59.040,0.896,0.000,0.855,0.000,0.854,0.000,0.895,0.000,True,551.062
